名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント
[水着]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
小山雅,野手,守備,ガード,アイコンタクト(不確定),なし,不明,なし,なし,後イベ
七井=アレフト,野手,筋力,ガード,高球必打(確定)¶アーチスト(確定),なし,-,ミート+4(PSR覚醒時),［SR］練習効果UP30％¶［PSR］ミート上限UP4,前イベ
[あかつき]猪狩守,投手,球速,レンジャー,なし,マインドブレイカー(不確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
四条澄香,彼女,,ガード,メッタ打ち(確定),内無双(確定),-,なし,なし,前イベ
六本木優希,野手,守備,ガード,アイコンタクト(不確定)＋魔術師(不確定),なし,不明,なし,なし,前イベ
四条賢二,野手,メンタル,ガード,精神的支柱(不確定)¶情熱エール(確定),鉄腕(確定)¶本塁打厳禁(確定),不明,なし,なし,前イベ
三本松一,野手,筋力,ガード,ローリング打法(不確定),怪童(確定),不明,なし,なし,後イベ
ジョー・ギブソンJr,野手,筋力,ガード,広角砲(不確定)¶挑発(不確定),精密機械(不確定)¶必殺火消し人(不確定),不明,なし,なし,後イベ
神童裕二郎,投手,コントロール,ガード,なし,超尻上がり(確定),-,なし,なし,後イベ
武野浩太,野手,走塁,バウンサー,左キラー(野手)(不確定)¶高速ベースラン(不確定),なし,不明,なし,なし,前イベ
[ユニフォーム]明星雪華,彼女,,ガード,一球入魂(不確定),驚異の切れ味(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
光野聖良,彼女,,スナイパー,恐怖の満塁男(確定),強心臓(確定),-,なし,なし,後イベ
相良識,彼女,,ガード,内野安打王(確定),復活(確定),-,なし,なし,前イベ
バット＝円島,野手,守備,レンジャー,内角必打(不確定),内無双(不確定),不明,なし,なし,後イベ
兼倉洋平,野手,肩力,バウンサー,つるべ打ち(不確定),勝利の星(確定),不明,なし,なし,後イベ
須藤零人,投手,球速,スナイパー,なし,ディレイドアーム(不確定),不明,なし,なし,前イベ
雷轟遙登,野手,筋力,スナイパー,精神的支柱(不確定),なし,不明,なし,なし,前イベ
二宮瑞穂,野手,打撃,バウンサー,アイコンタクト(不確定)捕手時¶司令塔(不確定),なし,不明,なし,なし,後イベ
[ユニフォーム]氷上聡里,彼女,,ガード,左キラー(野手)(確定),変幻自在(確定),-,なし,なし,前イベ
一ノ瀬塔哉,投手,変化球,レンジャー,なし,ミスターゼロ(確定)¶精密機械(確定),-,なし,なし,前イベ
[ユニフォーム]京野小筆,彼女,,ガード,安打製造機(確定)¶アーチスト(確定),精密機械(確定)¶鉄腕(確定),-,なし,なし,前イベ
木崎彰,野手,肩力,レンジャー,勝負師(不確定)捕手時¶球界の頭脳(確定),なし,不明,なし,なし,前イベ
祝井幸吉,野手,肩力,レンジャー,超ラッキーボーイ(不確定),勝利の星(確定),不明,なし,なし,前イベ
宝塚月斗,野手,守備,レンジャー,恐怖の満塁男(不確定),なし,-,なし,なし,前イベ
賀真口摩音,彼女,,ガード,勝負師(確定),ディレイドアーム(確定),-,なし,なし,前イベ
百屋縁,彼女,,ガード,火事場の馬鹿力(確定),ド根性(確定),-,なし,［SR］イベントボーナス25％¶［PSR］コントロール上限UP4,後イベ
熱盛宗厚,投手,コントロール,レンジャー,なし,なし¶ドクターK(確定),不明,なし,なし,前イベ
新島早紀,選手兼彼女+野手,打撃,バウンサー,内角必打(確定),なし,-,なし,［SR］タッグボーナス30％¶［PSR］やる気効果UP50％,前イベ
猫塚かりん,彼女,,ガード,大番狂わせ(確定),本塁打厳禁(確定),-,なし,なし,後イベ
[チア]明星雪華,彼女,,ガード,精神的支柱(不確定),不屈の魂(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
涼風希望,投手,変化球,レンジャー,なし,ロゼルージュ(不確定)¶変化球プライド(確定),不明,なし,［SR］タッグボーナス30％¶［PSR］やる気効果UP75％,前イベ
球三郎,野手,走塁,レンジャー,高球必打(不確定),なし,不明,なし,なし,後イベ
[ユニフォーム]春野千優,彼女,,ガード,鉄人(確定),走者釘付(確定),-,なし,なし,後イベ
朱雀南赤,投手,スタミナ,ガード,一球入魂(確定),驚異の切れ味(確定)¶怪物球威(確定)¶アームブレイカー(確定),-,なし,なし,前イベ
比良女木美々,彼女,,ガード,高速レーザー(確定)捕手時¶バズーカ(確定),ハイスピンジャイロ(確定),-,なし,なし,前イベ
尾根瑛人,投手,球速,レンジャー,伝説のサヨナラ男(確定),勝利の星(確定),-,なし,なし,後イベ
納見新造,野手,メンタル,ガード,気迫ヘッド(確定),ド根性(確定),-,なし,なし,後イベ
一条一輝,野手,筋力,ガード,威圧感(野手)(不確定),威圧感(投手)(不確定),不明,なし,なし,前イベ
暗黒スバル,投手,変化球,レンジャー,なし,暗黒星雲(不確定)¶内無双(不確定),ダークネビュラ : 変化量(総変14で担当の体感3割前後)内無双 : 球速(球速160で担当の体感8割前後)※ともに上方修正後は不明,なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
[アンドロメダ]大西,投手,スタミナ,ガード,勝負師(確定),ミスターゼロ(不確定),不明,なし,［SR］筋力ボーナス10¶［PSR］やる気効果UP75％,後イベ
[アンドロメダ]嵐丸,投手,メンタル,レンジャー,伝説のサヨナラ男(確定)¶鉄人(不確定),クロスキャノン(不確定)¶鉄腕(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ
眉村健,投手,コントロール,スナイパー,なし,ジャイロボール(眉村)(不確定)¶ハイスピンジャイロ(確定),不明,なし,なし,後イベ
[バレンタイン]美藤千尋,野手,打撃,バウンサー,安打製造機(確定)¶ヒートアップ(確定)¶孤軍奮闘(確定),安打製造機(確定)¶孤軍奮闘(確定),-,なし,［SR］精神ボーナス10¶［PSR］練習効果UP20％,後イベ
[バレンタイン]川星ほむら,野手,走塁,レンジャー,気迫ヘッド(確定),なし,-,なし,なし,前イベ
[バレンタイン]大空美代子,野手,筋力,ガード,アーチスト(不確定),怪童(不確定),不明,なし,なし,前イベ
清水薫,投手,メンタル,ガード,なし,復活(確定),-,なし,なし,前イベ
清水大河,野手,打撃,バウンサー,内野安打王(不確定),なし,不明,なし,なし,前イベ
茂野吾郎,投手,球速,ガード,なし,怪童(確定)¶怪物球威(確定),-,なし,［SR］初期評価20¶［PSR］技術ボーナス10,前イベ
佐藤寿也,野手,打撃,バウンサー,アーチスト(不確定)捕手時¶ささやき戦術(不確定)¶球界の頭脳(不確定),なし,不明,捕球+4(PSR覚醒時),［SR］タッグボーナス20％¶［PSR］捕球上限UP4,後イベ
阿久津,投手,変化球,レンジャー,なし,変幻自在(確定),-,なし,なし,後イベ
草野秀明,野手,守備,ガード,魔術師(確定),なし,-,なし,なし,前イベ
片桐恋,彼女,,ガード,重戦車(確定)捕手時¶鉄の壁(確定),超尻上がり(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス30％,前イベ
久遠ヒカル,投手,変化球,レンジャー,低球必打(確定),強心臓(確定)¶原点投球(確定),-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ
北斗八雲,投手,コントロール,レンジャー,鉄人(確定),ド根性(確定)＋鉄腕(確定)¶鉄人(確定),-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP10％,後イベ
神楽坂光彦,投手,変化球,レンジャー,なし,驚異の切れ味(不確定)＋左キラー(投手)(不確定),不明,なし,なし,前イベ
猫神優,野手,走塁,ガード,大番狂わせ(確定)¶高速ベースラン(確定),なし,-,なし,なし,後イベ
犬河和音,投手,変化球,レンジャー,ストレートキラー(確定)¶伝説のサヨナラ男(確定),マインドブレイカー(確定)¶本塁打厳禁(確定),-,なし,なし,前イベ
ヴィクター,野手,打撃,バウンサー,左キラー(野手)(確定),精密機械(確定),-,なし,なし,前イベ
アルヴィン,投手,球速,ガード,安打製造機(不確定),ミラージュナックル(不確定)¶変幻自在(不確定),不明,なし,なし,後イベ
[アフロ]猪狩守,投手,球速,レンジャー,祝福(確定),ソニックライジング(不確定)¶勇猛果敢(確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
火野勇太郎,野手,走塁,レンジャー,電光石火(確定)¶高速レーザー(確定)捕手時¶バズーカ(確定),変幻自在(確定)¶走者釘付(確定),-,なし,なし,前イベ
初野歩,野手,守備,レンジャー,ストライク送球(確定)捕手時¶鉄の壁(確定),鉄腕(確定),-,なし,なし,後イベ
グラビトン新井,投手,球速,レンジャー,アーチスト(確定),怪童(確定),-,なし,なし,後イベ
古長衛士,野手,筋力,ガード,伝説のサヨナラ男(確定),なし,-,なし,なし,後イベ
六鹿陸,野手,守備,スナイパー,鉄人(確定),なし,-,なし,なし,前イベ
木村美香,彼女,,ガード,ストライク送球(確定),左キラー(投手)(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,前イベ
諸井清和,野手,打撃,バウンサー,火事場の馬鹿力(確定),走者釘付(確定),-,なし,なし,前イベ
浦賀有也,野手,守備,レンジャー,魔術師(確定),なし,-,なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
天城隼,投手,メンタル,レンジャー,なし,ハイスピンジャイロ(不確定),不明,なし,なし,後イベ
鴨川しぐれ,彼女,,ガード,伝説のサヨナラ男(確定),勝利の星(確定),-,走力+4(PSR覚醒時のみ),［SR］初期評価20¶［PSR］走力上限UP4,後イベ
安内なみき,サポート,,ガード,左キラー(野手)(確定)捕手時¶バズーカ(確定),走者釘付(確定),-,なし,なし,前イベ
パワプロイド,投手,球速,レンジャー,なし,ストレートビュー(不確定)¶ハイスピンジャイロ(確定),不明,なし,なし,前イベ
グリーンドロイド,野手,打撃,バウンサー,高速レーザー(不確定)¶挑発(確定),精密機械(不確定)¶鉄腕(確定),不明,なし,なし,後イベ
マキシマム,野手,筋力,レンジャー,アーチスト(確定),なし,-,なし,なし,前イベ
坂本ゲン,野手,走塁,バウンサー,高速ベースラン(不確定),なし,不明,なし,なし,後イベ
滝川・クリス・優,サポート,,ガード,なし捕手時¶球界の頭脳(不確定),なし,不明,なし,なし,前イベ
浪風芽衣香,野手,打撃,レンジャー,大番狂わせ(確定),なし,-,なし,［SR］コツイベント率UP50％¶［PSR］やる気効果UP75％,後イベ
暮羽鋭次,投手,コントロール,レンジャー,なし,精密機械(不確定),不明,なし,なし,前イベ
木場静火,彼女,,ガード,芸術的流し打ち(確定),ドクターK(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
水鳥忍,野手,守備,ガード,芸術的流し打ち(確定)捕手時¶ささやき戦術(確定),なし,-,なし,なし,前イベ
金原いずる,野手,打撃,バウンサー,切り込み隊長(確定),なし,-,なし,なし,後イベ
木場嵐士,投手,球速,レンジャー,気迫ヘッド(確定),爆速ストレート(不確定)¶快速ストレート(不確定)¶速球プライド(不確定),不明,なし,［SR］やる気効果UP50％¶［PSR］筋力ボーナス10,前イベ
神高龍,投手,変化球,レンジャー,なし,ドクターK(不確定),不明,なし,［SR］コツイベ発生率UP20％¶［PSR］技術ボーナス10,前イベ
駒坂瞬,野手,走塁,レンジャー,電光石火(不確定),なし,不明,なし,なし,後イベ
エミリ,彼女,,ガード,代打の神様(確定),怪童(確定),-,なし,なし,後イベ
館西勉,投手,コントロール,レンジャー,なし,変幻自在(不確定),不明,なし,なし,前イベ
蝶野半四郎,投手,変化球,レンジャー,なし,変幻自在(不確定),不明,なし,なし,後イベ
神宮寺光,野手,打撃,バウンサー,伝説のサヨナラ男(不確定),なし,不明,なし,なし,前イベ
大空美代子,野手,筋力,ガード,アーチスト(不確定),怪童(不確定),不明,なし,なし,前イベ
東條小次郎,野手,筋力,ガード,アーチスト(確定)＋高球必打(不確定),怪物球威(不確定),不明,なし,なし,後イベ
伊貫大和,投手,コントロール,スナイパー,なし,精密機械(確定),-,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,後イベ
森河岳,野手,走塁,レンジャー,鉄人(確定),なし,-,なし,なし,前イベ
桜ノ宮総司,野手,肩力,バウンサー,なし捕手時¶球界の頭脳(確定),なし,-,なし,なし,後イベ
氷上聡里,彼女,,ガード,左キラー(野手)(確定),変幻自在(確定),-,なし,なし,前イベ
結城哲也,野手,打撃,レンジャー,勝負師(不確定),強心臓(不確定),不明,なし,なし,前イベ
丹波光一郎,投手,変化球,レンジャー,なし,驚異の切れ味(不確定),不明,なし,なし,後イベ
川上憲史,投手,コントロール,レンジャー,なし,不屈の魂(不確定),不明,なし,なし,前イベ
小湊亮介,野手,守備,ガード,魔術師(確定),強心臓(確定),-,なし,なし,前イベ
増子透,野手,筋力,ガード,一球入魂(不確定),鉄腕(不確定),不明,なし,なし,後イベ
伊佐敷純,野手,肩力,レンジャー,高速レーザー(確定),怪物球威(確定),-,なし,なし,後イベ
清本和重,野手,筋力,ガード,アーチスト(不確定),なし,不明,なし,なし,前イベ
成宮鳴,投手,球速,バウンサー,伝説のサヨナラ男(確定),ドクターK(確定)¶変幻自在(確定),-,なし,なし,後イベ
神谷カルロス俊樹,野手,走塁,レンジャー,高速ベースラン(確定),なし,-,なし,なし,前イベ
白河勝之,野手,打撃,バウンサー,芸術的流し打ち(確定),本塁打厳禁(確定),-,なし,なし,前イベ
多田野樹,野手,メンタル,ガード,気迫ヘッド(確定)捕手時¶鉄の壁(確定),不屈の魂(確定),-,なし,なし,後イベ
倉持洋一,野手,走塁,ガード,電光石火(確定)＋看破(不確定),走者釘付(確定),不明,なし,なし,後イベ
三島優太,投手,スタミナ,ガード,勝負師(不確定),なし,不明,なし,なし,後イベ
真田俊平,投手,球速,バウンサー,恐怖の満塁男(不確定),強心臓(不確定),不明,なし,なし,前イベ
轟雷市,野手,筋力,ガード,アーチスト(不確定),なし,不明,なし,なし,後イベ
秋葉一真,野手,打撃,バウンサー,ストライク送球(確定),走者釘付(確定),-,なし,なし,前イベ
パピヨン,投手,コントロール,ガード,一発逆転王(確定),怪童(確定)¶驚異の切れ味(確定),-,なし,なし,後イベ
沢村栄純,投手,スタミナ,ガード,左キラー(野手)(確定),変幻自在(確定)¶クロスキャノン(確定)¶みなぎる活力(確定),-,なし,なし,後イベ
御幸一也,野手,守備,レンジャー,ストライク送球(確定)捕手時¶球界の頭脳(確定)＋ストライク送球(不確定),走者釘付(確定),不明,なし,なし,後イベ
小湊春市,野手,打撃,バウンサー,安打製造機(確定)＋つるべ打ち(不確定),本塁打厳禁(確定),不明,なし,なし,前イベ
降谷暁,投手,球速,ガード,勝負師(確定),怪童(確定)¶ドクターK(確定),-,なし,なし,前イベ
調子くん,サポート,,ガード,なし捕手時¶鉄の壁(不確定),なし,不明,なし,なし,後イベ
夏野向日葵,野手,守備,レンジャー,ストライク送球(確定),なし,-,守備力+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］守備力上限UP4,後イベ
八尺巫女子,選手兼彼女+野手,走塁,レンジャー,切り込み隊長(確定),なし,-,走力+4(PSR覚醒時),［SR］やる気効果UP50％¶［PSR］走力上限UP4,前イベ
矢部田亜希子,野手,走塁,レンジャー,切り込み隊長(確定),なし,-,なし,なし,後イベ
明星雪華,彼女,,ガード,一球入魂(不確定),驚異の切れ味(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
小嵐リョウ,選手兼彼女+野手,守備,ガード,魔術師(確定),なし,-,なし,［SR］初期評価20¶［PSR］練習効果UP30％,前イベ
美園千花,選手兼彼女+野手,筋力,ガード,鉄人(確定)捕手時¶球界の頭脳(確定),なし,-,守備力+4(PSR覚醒時),［SR］練習効果UP20％¶［PSR］守備力上限UP4,後イベ
小鷹美麗,野手,守備,ガード,ストライク送球(確定)¶切磋琢磨(確定),なし,-,なし,なし,前イベ
アンヌ,投手,球速,バウンサー,なし,怪物球威(確定),-,なし,なし,後イベ
有村佐治,野手,肩力,レンジャー,鉄人(確定),なし,-,なし,なし,前イベ
[巫女]早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),不明,なし,なし,後イベ
[巫女]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
香本富久雄,野手,筋力,ガード,勝負師(確定)捕手時¶鉄の壁(確定),鉄腕(確定),-,なし,なし,前イベ
[巫女]六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)捕手時¶ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ
川星ほむら,野手,走塁,レンジャー,気迫ヘッド(確定),なし,-,なし,なし,前イベ
大鐘餅太郎,野手,守備,バウンサー,左キラー(野手)(確定),左キラー(投手)(確定),-,なし,なし,後イベ
銭形乱蔵,投手,守備,レンジャー,勝負師(不確定),強心臓(不確定),不明,なし,なし,後イベ
九十九宇宙,野手,肩力,スナイパー,高速レーザー(確定)＋ストライク送球(不確定),なし,不明,なし,なし,前イベ
[サンタ]早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),不明,なし,なし,後イベ
ブロンコ＝リー,野手,メンタル,レンジャー,アーチスト(不確定),怪童(不確定),不明,なし,なし,前イベ
美藤千尋,野手,打撃,バウンサー,安打製造機(確定)¶ヒートアップ(確定)¶孤軍奮闘(確定),安打製造機(確定)¶孤軍奮闘(確定),-,なし,［SR］精神ボーナス10¶［PSR］練習効果UP20％,後イベ
三森左京,野手,走塁,バウンサー,高速ベースラン(不確定),なし,不明,なし,なし,後イベ
武秀英,野手,打撃,レンジャー,勝負師(不確定)¶ヒートアップ(確定),なし,不明,なし,なし,後イベ
[サンタ]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
[サンタ]六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)捕手時¶ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ
渋谷秀喜,野手,筋力,ガード,伝説のサヨナラ男(不確定),なし,不明,なし,なし,前イベ
鎌刈善二,野手,打撃,バウンサー,一球入魂(確定),なし,-,なし,なし,前イベ
猛田慶次,野手,メンタル,レンジャー,伝説のサヨナラ男(確定)＋勝負師(不確定),強心臓(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］やる気効果UP75％,前イベ
蛇島桐人,野手,守備,ガード,魔術師(不確定),なし,不明,なし,なし,後イベ
城井伯斎,野手,守備,ガード,切り込み隊長(不確定),不屈の魂(不確定),不明,なし,なし,後イベ
中之島幸宏,野手,打撃,バウンサー,電光石火(不確定),なし,不明,なし,なし,後イベ
六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)捕手時¶ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ
嵐丸士朗,投手,メンタル,レンジャー,鉄人(不確定),鉄腕(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ
大西＝ハリソン＝筋金,投手,スタミナ,ガード,なし,鉄腕(確定),-,なし,［SR］筋力ボーナス10¶［PSR］やる気効果UP75％,後イベ
鶴屋勝,投手,コントロール,スナイパー,なし,左キラー(投手)(不確定),不明,なし,なし,前イベ
阿畑やすし,投手,変化球,レンジャー,なし,オリジナル変化球(確定)¶本塁打厳禁(確定),-,なし,なし,前イベ
鮫島粂太郎,野手,筋力,ガード,一球入魂(確定),なし,-,なし,なし,前イベ
浜崎庄司,投手,コントロール,ガード,なし,不屈の魂(確定),-,なし,なし,後イベ
小田切巧,野手,守備,ガード,代打の神様(確定),不屈の魂(確定),-,なし,なし,前イベ
橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
鈴本大輔,投手,コントロール,バウンサー,なし,精密機械(不確定),不明,なし,なし,前イベ
早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),マリンボール : 変化量(総変14で担当の体感7割前後),なし,なし,後イベ
宇渡幹久,野手,筋力,ガード,重戦車(確定),強心臓(確定),-,なし,なし,後イベ
佐久間博,野手,打撃,バウンサー,芸術的流し打ち(不確定),なし,不明,なし,なし,後イベ
三森右京,野手,走塁,バウンサー,電光石火(不確定),なし,不明,なし,なし,前イベ
久方怜,投手,コントロール,スナイパー,安打製造機(不確定),驚異の切れ味(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ
青葉春人,投手,球速,レンジャー,なし,超真魔球改(不確定)＋不屈の魂(確定),不明,なし,なし,前イベ
矢部明雄,野手,走塁,レンジャー,高速ベースラン(確定)＋走力バースト(不確定),なし,走力バースト : 走力(Sで担当の体感3割前後),走力+4(PSR覚醒時のみ),［SR］タッグボーナス50％¶［PSR］走力上限UP4,後イベ
星井スバル,投手,変化球,レンジャー,ストライク送球(確定)¶球界の頭脳(確定),スタードライブ(不確定),スタードライブ : 総変化量(総変14で担当の体感8割前後),なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
山口賢,投手,変化球,レンジャー,エースキラー(確定)¶内角必打(確定),強心臓(確定)¶内無双(確定),-,なし,なし,前イベ
烏丸剛充,投手,スタミナ,ガード,なし,不屈の魂(確定),-,なし,なし,前イベ
春野千優,彼女,,ガード,鉄人(確定),走者釘付(確定),-,なし,なし,後イベ
京野小筆,彼女,,ガード,安打製造機(確定)¶アーチスト(確定),精密機械(確定)¶鉄腕(確定),-,なし,なし,前イベ
友沢亮,野手,肩力,スナイパー,安打製造機(不確定),なし,不明,ミート+4(PSR覚醒時のみ),［SR］試合経験点ボーナス20％¶［PSR］ミート上限UP4,後イベ
才賀侑人,野手,打撃,バウンサー,一球入魂(確定),なし,-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ
猪狩進,野手,守備,ガード,挑発(確定)¶看破(確定)捕手時¶球界の頭脳(確定),ジャストフィット(確定),-,ミート+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］ミート上限UP4,前イベ
滝本太郎,野手,筋力,ガード,アーチスト(不確定)¶安打製造機(不確定)¶勝負師(不確定),なし,不明,なし,［SR］タッグボーナス30％¶［PSR］筋力ボーナス10,前イベ
鋼毅,投手,スタミナ,ガード,アーチスト(確定),怪童(確定),-,なし,なし,前イベ
少豪月剛,野手,筋力,ガード,一球入魂(不確定),ドクターK(不確定),不明,なし,なし,後イベ
田中山太郎,野手,守備,ガード,魔術師(不確定),なし,不明,なし,なし,後イベ
小平陽向,野手,メンタル,バウンサー,切り込み隊長(確定)＋一番槍(不確定),走者釘付(確定),-,なし,なし,前イベ
猪狩守,投手,球速,レンジャー,切磋琢磨(確定),ライジングキャノン(不確定)¶ライジングショット(不確定)¶鉄腕(確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
樽本有太,投手,球速,バウンサー,なし,怪物球威(不確定),不明,なし,なし,後イベ
田中将大,投手,球速,ガード,なし,エアロスプリット(不確定),不明,なし,［SR］得意練習率UP20％¶［PSR］コントロール上限UP4,後イベ
太刀川広巳,投手,変化球,レンジャー,なし,怪物球威(確定)＋鉄腕(不確定),鉄腕 : 不明,なし,なし,後イベ
茶来元気,野手,守備,レンジャー,切り込み隊長(不確定),なし,不明,なし,なし,前イベ
